N,P,K,temperature,humidity,ph,rainfall,label
24,128,199,19.19,91.77,6.45,107.67,Apple
83,53,25,23.7,63.78,6.06,72.6,Maize
92,47,34,21.3,86.21,6.48,257.04,Rice
17,28,39,26.94,95.77,5.81,189.51,Coconut
18,72,21,31.74,47.8,4.87,167.16,Pigeonpeas
103,17,42,25.56,85.94,6.38,36.68,Watermelon
100,36,29,26.46,63.76,6.9,169.57,Coffee
72,61,15,24.93,68.8,6.71,82.22,Maize
25,22,10,19.24,89.0,6.91,114.11,Orange
15,18,12,19.55,95.31,6.65,125.09,Orange
82,42,40,22.74,75.8,6.53,213.44,Rice
22,61,17,24.06,58.71,5.81,111.44,Kidney Beans
41,65,59,39.71,100.0,6.43,216.48,Papaya
46,68,73,18.67,14.77,7.03,78.55,Chickpea
20,130,191,21.1,90.78,6.03,95.62,Apple
26,55,21,20.61,50.46,5.44,113.8,Kidney Beans
19,13,12,21.05,85.53,6.65,121.77,Orange
78,45,46,27.55,79.31,7.14,181.44,Jute
88,42,40,29.79,74.53,6.77,199.68,Rice
121,41,17,25.2,85.52,6.7,77.17,Cotton
35,144,193,21.44,90.09,6.46,97.96,Apple
90,52,23,22.35,60.09,6.5,82.45,Maize
25,138,204,21.4,99.59,5.93,112.23,Apple
47,60,76,19.92,19.35,7.2,74.02,Chickpea
49,57,50,41.91,95.46,7.05,168.71,Papaya
106,15,43,23.4,79.15,6.8,37.88,Watermelon
18,21,31,26.98,97.64,6.14,211.82,Coconut
34,75,88,15.31,14.21,6.7,73.5,Chickpea
70,46,13,25.2,68.88,6.26,108.61,Maize
26,89,21,20.22,64.61,5.84,126.3,Kidney Beans
87,49,51,24.45,82.99,6.32,218.75,Rice
83,43,42,22.59,78.71,6.6,246.12,Rice
31,66,20,22.39,55.69,5.71,87.71,Kidney Beans
84,54,21,23.22,63.82,6.46,84.44,Maize
24,12,34,25.89,95.04,5.97,152.03,Coconut
34,56,56,36.36,94.74,6.4,192.32,Papaya
28,14,23,29.36,97.2,6.38,197.62,Coconut
29,132,205,24.27,92.31,5.86,103.33,Apple
25,64,20,28.18,51.99,5.25,156.46,Pigeonpeas
84,55,15,29.02,67.51,6.15,84.16,Maize
102,28,31,28.03,63.91,6.69,165.0,Coffee
52,64,55,32.52,92.85,6.99,183.31,Papaya
19,24,5,28.81,92.41,6.76,107.62,Orange
18,70,23,27.22,61.39,6.38,131.67,Pigeonpeas
39,68,68,20.03,18.72,7.28,91.24,Chickpea
44,50,47,37.25,91.92,6.89,193.29,Papaya
103,20,56,31.73,92.37,6.73,23.24,Muskmelon
16,72,18,27.54,55.43,5.2,134.42,Pigeonpeas
86,32,25,28.42,64.62,6.68,160.1,Coffee
85,46,31,23.28,82.69,6.77,196.26,Jute
90,29,27,20.61,70.0,7.01,185.66,Coffee
43,73,89,19.82,16.28,7.57,99.0,Chickpea
23,17,12,19.48,90.93,7.46,110.82,Orange
27,80,69,18.47,15.71,7.54,64.02,Chickpea
15,74,19,22.06,65.99,5.29,109.36,Kidney Beans
104,18,55,29.94,93.24,6.42,28.29,Muskmelon
24,142,197,23.66,84.83,5.69,126.75,Apple
38,65,90,20.12,13.67,7.4,84.98,Chickpea
25,76,16,17.51,57.08,6.01,97.21,Kidney Beans
31,61,20,21.15,64.24,5.03,110.9,Kidney Beans
20,73,18,29.27,56.87,5.04,190.31,Pigeonpeas
125,48,24,26.97,73.0,7.03,77.53,Cotton
71,44,25,27.27,68.65,5.95,80.25,Maize
16,18,11,25.3,92.43,6.93,111.02,Orange
21,74,20,30.17,64.83,5.95,156.23,Pigeonpeas
112,17,54,29.69,91.15,6.79,20.0,Muskmelon
111,26,51,22.86,83.77,6.62,50.6,Watermelon
41,70,75,18.37,18.85,7.78,78.61,Chickpea
124,45,22,22.86,88.6,6.44,82.63,Cotton
31,71,20,19.96,49.87,5.38,148.67,Kidney Beans
53,58,45,31.77,91.36,5.62,145.97,Papaya
92,46,45,30.28,82.39,6.72,188.0,Jute
27,79,19,18.88,56.74,5.37,108.23,Kidney Beans
20,30,34,31.74,99.19,6.07,186.63,Coconut
75,54,23,29.54,68.5,6.32,93.86,Maize
81,49,38,25.28,79.82,6.33,172.95,Jute
21,21,9,25.04,89.87,5.95,104.91,Orange
45,65,80,19.05,11.24,7.29,73.1,Chickpea
24,137,189,25.7,95.57,5.94,110.14,Apple
71,45,22,29.01,67.37,5.9,91.67,Maize
88,51,16,23.86,64.98,5.92,107.55,Maize
11,16,8,22.76,90.09,7.1,106.54,Orange
51,55,48,40.01,91.08,6.81,170.83,Papaya
115,36,31,20.39,60.19,7.61,170.39,Coffee
34,131,205,24.56,89.0,6.31,107.18,Apple
47,56,52,32.25,93.2,6.3,155.22,Papaya
94,21,26,22.22,70.52,6.77,168.08,Coffee
35,125,205,21.83,91.61,5.54,111.58,Apple
111,42,23,26.89,82.44,7.23,69.45,Cotton
117,48,20,27.44,74.62,6.49,92.44,Cotton
93,54,40,27.91,71.52,6.83,242.18,Rice
11,20,11,19.97,87.41,7.41,126.97,Orange
40,65,89,20.9,14.68,7.46,70.28,Chickpea
37,68,66,17.61,15.77,7.09,81.52,Chickpea
107,52,22,25.77,75.03,6.9,65.8,Cotton
122,51,18,21.68,82.52,5.97,76.19,Cotton
93,49,20,19.92,69.48,6.82,117.45,Maize
42,78,71,20.36,20.58,6.59,83.2,Chickpea
73,35,38,24.54,82.86,6.14,147.63,Jute
119,54,21,25.42,74.54,6.89,92.43,Cotton
121,47,19,23.35,76.56,6.26,79.09,Cotton
80,40,39,27.74,84.8,6.69,173.43,Jute
123,47,23,24.77,78.08,7.02,90.51,Cotton
106,16,55,28.76,84.97,6.49,22.97,Muskmelon
77,59,42,24.23,71.18,7.26,150.79,Jute
86,42,18,29.74,63.86,6.61,98.05,Maize
121,50,13,22.6,84.44,6.91,78.23,Cotton
19,71,22,30.57,49.09,5.69,173.9,Pigeonpeas
52,61,52,34.28,95.73,6.74,130.84,Papaya
19,70,18,25.04,51.49,5.61,157.19,Pigeonpeas
78,48,16,22.67,59.69,6.41,110.68,Maize
104,13,59,24.45,84.11,6.6,45.48,Watermelon
21,136,205,24.41,87.53,5.93,120.36,Apple
22,69,14,19.54,59.84,5.43,105.95,Kidney Beans
87,43,33,22.06,77.56,7.2,263.39,Rice
90,24,34,25.04,61.31,6.67,168.9,Coffee
96,16,54,24.69,88.66,6.87,36.65,Watermelon
87,48,23,23.76,65.47,5.5,98.74,Maize
30,72,24,19.49,58.85,5.21,114.11,Kidney Beans
18,13,8,22.97,92.18,7.57,110.98,Orange
34,71,19,18.43,66.15,5.41,144.43,Kidney Beans
55,60,58,35.99,89.53,6.39,176.36,Papaya
97,23,49,26.06,98.53,5.85,21.31,Muskmelon
109,22,55,28.19,89.99,5.98,24.8,Muskmelon
56,54,58,34.43,89.98,6.9,177.86,Papaya
23,64,20,16.67,67.47,5.71,126.65,Kidney Beans
107,22,25,21.39,60.63,6.79,177.28,Coffee
80,43,21,19.33,66.99,6.92,55.09,Maize
31,78,22,18.8,69.94,5.54,114.97,Kidney Beans
23,88,20,29.38,50.57,5.87,159.21,Pigeonpeas
99,11,52,25.79,92.3,6.24,20.0,Muskmelon
48,66,45,32.52,85.97,6.3,196.15,Papaya
18,145,194,20.44,94.98,5.44,96.72,Apple
140,51,20,27.36,91.72,7.15,91.39,Cotton
113,24,24,22.81,61.66,6.93,189.79,Coffee
135,48,17,20.83,72.64,6.25,96.54,Cotton
72,49,47,24.37,79.03,7.29,184.1,Jute
70,46,27,25.92,61.57,6.79,105.99,Maize
11,21,15,24.18,88.74,6.75,96.58,Orange
15,14,33,25.53,94.1,5.51,184.11,Coconut
27,15,29,28.54,93.42,6.0,188.77,Coconut
131,50,24,25.58,74.21,6.27,61.38,Cotton
120,30,27,30.65,55.41,6.81,178.59,Coffee
104,44,22,24.61,77.68,6.82,59.05,Cotton
42,70,87,18.73,18.17,7.26,82.65,Chickpea
113,42,22,23.41,75.25,6.22,74.21,Cotton
109,22,47,28.68,88.17,6.67,24.63,Muskmelon
91,49,42,24.56,78.84,6.69,287.05,Rice
95,47,37,23.48,80.03,6.26,261.24,Rice
99,16,48,28.06,92.34,6.26,23.63,Muskmelon
82,45,21,27.22,58.84,6.57,74.5,Maize
108,28,23,26.49,60.98,6.81,207.15,Coffee
126,58,19,25.14,80.96,7.76,54.81,Cotton
25,124,190,19.99,89.83,6.11,105.45,Apple
100,24,51,24.41,82.15,6.68,60.39,Watermelon
18,10,37,25.63,98.49,6.32,151.71,Coconut
96,43,16,17.54,61.17,5.84,109.63,Maize
45,60,84,20.01,20.18,8.4,83.92,Chickpea
92,19,53,24.25,93.57,6.24,24.04,Muskmelon
25,20,35,27.79,94.06,5.76,174.52,Coconut
39,75,77,15.79,22.25,7.85,67.08,Chickpea
19,80,21,24.98,54.81,5.81,159.45,Pigeonpeas
97,13,38,25.92,95.34,6.28,24.15,Muskmelon
91,17,33,26.82,91.75,6.57,23.66,Muskmelon
123,13,45,26.47,93.47,6.25,47.87,Watermelon
23,145,205,22.74,87.48,5.99,107.92,Apple
45,64,52,31.57,96.26,6.79,174.6,Papaya
63,60,60,33.52,91.27,6.72,157.5,Papaya
21,72,23,22.13,65.92,5.35,145.01,Kidney Beans
21,76,22,19.89,57.6,5.79,126.95,Kidney Beans
40,56,77,20.78,18.73,7.5,80.5,Chickpea
83,46,37,20.9,81.49,7.28,164.36,Jute
115,17,51,25.87,81.71,6.99,45.78,Watermelon
26,16,9,19.01,89.77,7.01,110.09,Orange
73,50,42,24.68,76.33,6.74,146.84,Jute
98,27,29,26.16,69.06,6.61,176.98,Coffee
89,14,46,24.54,83.07,6.57,56.93,Watermelon
108,50,18,23.96,86.63,7.13,81.9,Cotton
43,79,85,15.99,20.16,6.9,76.16,Chickpea
73,44,44,30.0,79.09,6.14,182.24,Jute
49,63,65,21.02,14.95,7.62,60.3,Chickpea
22,10,10,19.53,91.39,7.19,113.66,Orange
58,57,48,37.4,96.79,6.89,146.9,Papaya
102,19,51,26.98,85.22,6.5,59.57,Watermelon
89,53,21,24.31,64.62,6.12,80.79,Maize
84,42,45,24.82,79.88,6.71,242.43,Rice
86,49,25,24.38,62.42,6.56,93.15,Maize
114,50,22,24.8,79.71,6.96,77.23,Cotton
39,69,78,17.7,17.51,7.48,69.1,Chickpea
95,17,54,24.17,97.33,6.55,24.79,Muskmelon
41,55,55,29.57,95.17,6.54,152.23,Papaya
126,47,24,24.03,84.78,6.78,72.7,Cotton
42,72,67,20.79,15.55,7.36,96.12,Chickpea
89,15,55,28.07,90.85,6.37,27.45,Muskmelon
73,59,20,19.71,65.77,6.16,97.61,Maize
15,79,22,31.82,52.22,5.74,121.34,Pigeonpeas
102,27,29,21.98,60.9,6.74,185.81,Coffee
27,18,12,22.32,97.0,6.53,102.63,Orange
23,139,193,19.58,95.73,6.22,115.79,Apple
17,19,27,29.36,98.93,6.26,186.73,Coconut
25,58,22,25.42,46.51,5.89,170.19,Pigeonpeas
73,45,12,22.64,50.46,5.71,96.41,Maize
103,6,51,24.69,93.94,6.84,20.37,Muskmelon
29,67,20,31.48,65.22,5.14,114.27,Pigeonpeas
64,45,23,20.24,66.76,5.82,92.0,Maize
55,57,50,34.27,92.32,7.0,172.87,Papaya
28,68,19,18.9,55.57,5.86,138.43,Kidney Beans
33,73,71,20.33,18.39,6.61,73.22,Chickpea
16,19,23,25.94,96.5,5.71,215.32,Coconut
33,76,79,20.34,13.78,6.68,88.18,Chickpea
51,47,45,31.96,89.61,6.76,156.79,Papaya
78,40,36,27.61,80.55,6.48,184.17,Jute
90,27,32,22.61,54.53,6.16,189.42,Coffee
109,15,46,28.63,87.59,6.52,53.79,Watermelon
128,43,19,24.09,71.02,6.67,88.79,Cotton
62,51,23,22.27,49.45,6.23,90.88,Maize
31,66,14,18.21,59.07,5.79,119.15,Kidney Beans
14,61,21,27.72,51.53,5.61,163.92,Pigeonpeas
10,61,25,25.96,47.96,5.72,191.36,Pigeonpeas
108,57,19,27.91,79.61,6.06,90.7,Cotton
74,41,34,24.57,81.54,6.98,179.34,Jute
103,22,49,23.32,87.45,6.67,50.57,Watermelon
88,45,33,22.64,82.44,6.04,249.39,Rice
81,32,42,24.3,79.7,6.55,189.53,Jute
28,63,17,23.2,63.61,5.43,140.33,Kidney Beans
32,66,87,18.74,21.53,6.72,79.88,Chickpea
80,46,30,20.68,82.79,6.8,244.28,Rice
78,50,24,21.59,73.96,6.36,84.68,Maize
22,67,18,31.63,46.46,5.41,142.05,Pigeonpeas
19,16,10,23.88,86.36,6.17,102.36,Orange
90,39,42,24.5,79.6,6.53,230.37,Rice
20,66,20,28.74,49.04,5.39,122.23,Pigeonpeas
41,84,72,17.64,18.54,7.37,83.51,Chickpea
67,57,20,27.35,67.06,6.73,93.55,Maize
102,13,50,26.77,84.38,6.71,50.79,Watermelon
26,130,193,19.81,100.0,5.92,91.89,Apple
92,30,31,22.84,61.12,6.92,182.21,Coffee
23,25,19,27.83,100.0,6.08,216.31,Coconut
105,25,23,21.4,50.88,6.64,168.98,Coffee
48,68,51,36.14,95.09,6.82,140.59,Papaya
78,47,39,21.91,86.38,6.74,200.76,Jute
91,20,53,26.46,96.56,6.31,32.65,Muskmelon
21,60,23,30.0,50.77,5.18,147.1,Pigeonpeas
101,15,51,23.51,81.22,6.69,41.87,Watermelon
109,18,51,27.5,93.71,6.2,29.97,Muskmelon
113,55,21,21.91,77.3,6.95,90.05,Cotton
22,15,29,27.36,92.56,5.56,219.72,Coconut
102,21,53,28.84,77.2,6.7,57.87,Watermelon
26,67,25,23.68,60.95,5.98,104.51,Kidney Beans
21,27,6,25.39,96.99,6.67,120.32,Orange
36,72,94,18.62,19.16,6.78,70.44,Chickpea
21,75,23,22.46,59.35,5.87,109.4,Kidney Beans
85,51,35,24.51,81.18,6.98,138.5,Jute
45,58,86,19.03,14.14,7.14,86.86,Chickpea
16,22,32,29.1,95.97,6.04,142.03,Coconut
65,53,37,23.78,72.94,7.4,151.79,Jute
20,16,13,23.56,92.16,7.11,105.5,Orange
24,18,8,18.95,96.26,7.04,101.52,Orange
16,67,14,20.83,53.16,6.3,133.67,Kidney Beans
21,60,16,25.41,62.15,6.18,154.86,Pigeonpeas
17,69,20,29.68,53.39,5.07,141.34,Pigeonpeas
90,14,46,28.67,92.87,6.52,27.98,Muskmelon
32,73,21,25.4,61.86,5.82,119.2,Kidney Beans
37,79,53,34.63,93.85,6.91,157.19,Papaya
23,22,14,29.04,92.73,6.91,91.72,Orange
33,132,205,22.35,88.93,6.55,126.89,Apple
95,24,30,22.62,66.63,6.77,171.45,Coffee
81,42,8,25.31,70.42,5.32,69.85,Maize
52,43,49,33.38,87.91,6.42,176.19,Papaya
30,12,36,28.35,89.85,6.81,178.6,Coconut
19,18,5,24.18,91.73,7.44,98.73,Orange
44,54,47,34.22,95.58,6.3,153.6,Papaya
84,46,39,23.45,84.46,6.8,226.74,Rice
33,61,20,20.82,57.74,5.76,108.63,Kidney Beans
21,61,21,33.12,57.69,6.18,145.26,Pigeonpeas
88,40,36,21.96,81.69,6.64,246.92,Rice
84,43,18,26.17,62.76,7.36,79.01,Maize
18,12,14,22.82,91.42,7.16,115.07,Orange
18,10,23,27.04,91.61,5.98,156.36,Coconut
25,65,18,21.11,55.62,6.62,155.55,Pigeonpeas
95,49,38,22.15,81.58,7.03,163.63,Jute
85,28,39,23.47,58.98,6.67,150.7,Coffee
86,43,35,22.89,83.51,6.8,216.95,Rice
85,16,44,26.82,80.55,6.63,48.51,Watermelon
39,72,67,16.75,13.42,7.36,97.33,Chickpea
104,15,50,25.93,82.89,6.19,47.71,Watermelon
13,18,38,27.3,94.12,5.81,199.77,Coconut
107,32,32,24.15,64.25,6.72,186.12,Coffee
93,13,54,26.64,86.59,6.39,47.77,Watermelon
113,48,17,20.0,81.0,7.04,83.14,Cotton
48,61,44,34.32,92.45,6.25,179.91,Papaya
94,19,51,27.66,93.91,6.09,28.05,Muskmelon
23,16,15,20.69,95.43,6.87,113.03,Orange
26,73,18,27.83,54.04,5.93,179.02,Pigeonpeas
53,73,84,15.4,15.37,6.98,73.79,Chickpea
107,23,59,24.46,88.31,6.16,22.65,Muskmelon
61,60,52,36.43,89.83,6.72,162.51,Papaya
23,63,23,23.3,53.77,5.72,109.36,Kidney Beans
31,133,205,21.04,92.81,6.06,114.46,Apple
124,52,21,24.35,82.96,7.07,83.69,Cotton
76,42,35,24.79,78.37,5.94,276.64,Rice
89,43,33,22.2,80.16,6.92,248.59,Rice
41,84,80,18.62,15.93,7.23,93.73,Chickpea
25,138,197,22.45,90.22,6.38,113.64,Apple
82,29,31,24.89,61.28,6.81,195.46,Coffee
140,46,17,25.49,75.99,7.39,76.6,Cotton
30,82,15,16.3,69.35,5.82,106.98,Kidney Beans
109,16,45,27.38,89.1,6.57,20.0,Muskmelon
75,52,24,24.27,73.87,5.93,82.1,Maize
19,17,34,25.47,94.21,6.11,137.29,Coconut
78,42,44,24.54,77.02,6.57,249.63,Rice
25,16,7,24.84,91.9,7.13,99.13,Orange
20,69,20,32.17,54.5,5.35,142.13,Pigeonpeas
99,17,45,22.21,84.36,6.6,58.8,Watermelon
75,42,40,25.87,78.42,6.92,180.52,Jute
129,51,20,25.77,81.62,7.31,95.54,Cotton
92,45,41,27.58,79.47,6.17,213.57,Jute
110,45,24,25.03,73.82,7.3,88.77,Cotton
112,56,18,23.39,80.38,7.07,78.3,Cotton
26,20,8,26.61,95.62,6.91,99.2,Orange
113,49,15,23.91,74.54,6.85,91.93,Cotton
76,47,38,22.31,84.45,6.91,263.28,Rice
39,73,82,17.5,16.04,6.98,90.76,Chickpea
86,25,32,28.43,61.51,6.9,194.05,Coffee
97,45,47,23.34,92.88,6.75,218.57,Rice
44,57,90,19.52,15.89,7.36,62.24,Chickpea
15,72,12,25.8,52.07,6.05,150.45,Pigeonpeas
95,45,36,24.19,79.29,6.89,236.32,Rice
26,17,13,23.62,93.34,6.97,90.74,Orange
85,45,43,22.19,82.75,6.2,224.71,Rice
44,64,82,19.59,16.3,6.99,73.09,Chickpea
91,47,49,26.38,79.69,6.14,252.3,Rice
99,23,47,29.73,82.31,6.53,47.75,Watermelon
106,45,21,28.63,77.04,7.53,103.13,Maize
80,52,16,25.15,66.0,6.75,89.34,Maize
101,7,49,26.9,86.42,6.77,46.9,Watermelon
87,39,42,23.37,78.54,6.9,184.39,Jute
103,29,33,24.87,54.75,6.82,195.98,Coffee
85,42,37,21.84,82.19,6.17,246.76,Rice
95,23,36,24.0,55.66,6.75,176.37,Coffee
93,19,56,23.66,84.4,5.98,46.85,Watermelon
22,16,40,30.67,92.4,6.17,196.48,Coconut
22,14,34,30.36,96.03,6.58,146.44,Coconut
90,49,38,24.81,81.48,6.54,254.88,Rice
28,129,199,23.37,90.07,5.83,122.1,Apple
17,71,21,32.17,47.45,6.09,161.81,Pigeonpeas
99,54,18,27.84,65.41,6.93,92.27,Maize
24,16,28,27.58,91.51,5.89,161.09,Coconut
18,20,11,22.5,91.96,6.41,92.03,Orange
101,10,50,26.46,84.66,6.33,42.43,Watermelon
28,12,27,25.0,89.74,6.03,219.73,Coconut
17,54,20,30.78,54.27,5.62,146.81,Pigeonpeas
16,21,31,29.63,94.95,5.74,175.3,Coconut
96,17,54,28.37,93.83,6.33,23.29,Muskmelon
128,48,24,22.25,82.6,7.55,85.04,Cotton
26,58,18,23.97,67.18,5.63,120.69,Kidney Beans
34,145,205,21.76,96.54,5.93,114.62,Apple
104,33,24,21.99,58.27,6.6,190.07,Coffee
21,142,198,25.18,93.5,5.85,114.88,Apple
27,137,199,23.62,95.7,5.54,107.84,Apple
101,16,46,27.91,80.21,6.23,41.17,Watermelon
106,56,39,26.43,84.58,7.05,215.88,Rice
42,61,50,33.48,96.02,6.49,133.01,Papaya
88,43,27,23.86,81.08,6.78,286.22,Rice
114,45,22,24.68,76.79,7.47,69.73,Cotton
70,48,36,24.59,75.88,7.03,159.93,Jute
21,136,201,22.62,94.57,5.62,92.07,Apple
65,49,20,25.74,65.72,6.01,102.95,Maize
40,70,84,20.29,18.67,7.34,78.03,Chickpea
103,49,20,25.29,77.39,8.03,96.32,Cotton
38,67,83,19.17,10.34,7.21,71.49,Chickpea
23,71,21,26.81,57.22,5.75,159.16,Pigeonpeas
105,16,49,28.54,90.18,6.42,44.95,Watermelon
23,119,198,23.25,97.42,5.64,109.88,Apple
83,41,36,25.21,70.74,7.37,182.95,Jute
92,49,29,25.18,66.15,6.35,87.0,Maize
61,55,46,40.36,94.93,5.98,148.69,Papaya
52,46,48,35.32,90.44,6.38,176.92,Papaya
96,42,43,26.43,84.49,5.87,221.82,Rice
18,11,31,27.56,99.47,5.62,205.4,Coconut
30,19,34,25.74,98.86,5.92,186.11,Coconut
93,41,44,24.77,85.25,6.75,219.28,Rice
98,25,45,22.85,59.86,6.92,187.0,Coffee
98,45,21,23.95,72.13,7.76,77.04,Maize
78,46,21,26.45,70.16,6.21,82.49,Maize
26,14,30,28.37,88.8,6.64,173.77,Coconut
96,43,41,24.03,82.39,6.19,240.61,Rice
97,24,47,25.36,82.83,6.47,45.34,Watermelon
13,65,20,26.61,47.9,5.64,155.39,Pigeonpeas
95,47,55,26.8,81.49,6.12,199.84,Rice
41,63,65,36.34,89.41,7.04,153.67,Papaya
20,64,15,29.21,70.07,5.06,149.35,Pigeonpeas
22,24,11,28.54,93.62,7.22,106.12,Orange
42,84,105,20.21,16.45,7.51,88.88,Chickpea
78,42,41,24.57,75.29,7.29,163.8,Jute
78,52,24,21.64,57.01,5.58,92.62,Maize
84,52,25,24.59,69.25,6.46,106.6,Maize
83,40,43,23.14,75.46,6.56,164.46,Jute
97,28,25,21.09,58.66,6.86,148.04,Coffee
92,39,18,25.13,74.39,6.47,76.67,Maize
92,57,44,23.18,86.8,6.34,189.05,Rice
28,123,205,18.28,89.95,5.97,119.95,Apple
94,47,45,28.16,86.06,5.76,208.01,Rice
12,24,16,27.63,90.99,6.34,97.21,Orange
16,69,24,30.05,52.53,5.9,145.19,Pigeonpeas
102,14,53,27.2,84.52,6.6,20.0,Muskmelon
15,56,15,23.26,50.75,6.58,139.48,Pigeonpeas
90,44,29,26.95,63.05,5.25,119.36,Maize
34,59,88,22.42,16.69,7.23,80.7,Chickpea
30,67,93,19.04,17.69,6.8,73.84,Chickpea
27,62,20,22.85,50.45,6.1,121.09,Kidney Beans
92,50,36,24.39,80.58,6.42,205.46,Jute
77,38,46,23.33,79.77,6.88,178.59,Jute
40,63,86,19.84,18.48,7.09,58.47,Chickpea
22,20,23,25.52,94.65,6.57,177.5,Coconut
68,48,44,23.8,84.66,6.03,148.09,Jute
100,49,34,22.69,83.96,6.01,257.82,Rice
75,41,49,26.11,76.25,7.14,178.61,Jute
119,23,50,29.73,87.09,7.16,22.05,Muskmelon
91,31,20,24.82,62.08,7.04,194.47,Coffee
30,114,198,20.87,89.89,6.12,128.45,Apple
25,19,9,29.44,91.72,7.27,105.19,Orange
10,64,15,24.01,63.89,5.84,142.82,Kidney Beans
90,52,41,24.38,80.55,6.48,247.7,Rice
20,63,22,21.39,57.07,5.77,130.72,Kidney Beans
91,50,32,25.36,79.35,6.73,220.92,Rice
85,20,44,24.08,85.0,6.47,38.7,Watermelon
85,53,49,24.51,70.79,6.37,167.32,Jute
27,128,205,25.09,93.81,6.41,115.78,Apple
86,60,20,21.82,63.9,7.19,75.31,Maize
97,14,47,22.97,87.19,6.48,36.36,Watermelon
73,54,47,24.07,77.49,5.65,148.33,Jute
44,64,78,17.01,10.0,7.22,104.13,Chickpea
89,21,58,25.12,80.44,5.76,42.15,Watermelon
22,122,197,21.52,92.81,6.08,105.06,Apple
97,25,44,24.02,82.25,6.25,47.86,Watermelon
102,22,39,24.67,65.49,6.55,181.16,Coffee
94,28,27,23.4,60.26,7.03,153.92,Coffee
107,32,32,21.84,62.25,6.94,189.58,Coffee
28,72,18,21.31,69.77,5.55,104.12,Kidney Beans
84,47,24,27.56,80.54,6.79,89.89,Maize
20,125,205,19.43,91.01,6.14,114.21,Apple
38,59,78,18.38,19.34,7.82,93.96,Chickpea
37,69,92,16.52,12.6,7.37,80.51,Chickpea
50,58,51,30.55,91.42,6.92,172.84,Papaya
19,18,35,34.06,91.27,6.13,164.43,Coconut
99,42,47,29.75,80.55,6.32,276.33,Rice
25,145,198,22.76,91.88,5.97,118.11,Apple
126,50,21,25.16,79.81,7.76,94.21,Cotton
47,61,82,20.95,18.5,7.38,90.01,Chickpea
21,20,9,23.7,89.22,7.32,102.39,Orange
21,23,12,22.49,96.06,5.85,134.62,Orange
88,40,33,26.32,89.64,5.94,254.07,Rice
92,44,37,22.63,81.87,6.28,222.18,Rice
18,22,28,24.03,88.85,6.38,193.57,Coconut
92,45,37,29.36,84.54,5.69,244.66,Rice
103,36,21,25.82,60.62,6.83,184.18,Coffee
22,18,7,16.23,93.29,6.87,102.58,Orange
28,128,192,20.37,90.63,5.89,140.99,Apple
30,57,21,20.33,64.23,5.06,118.51,Kidney Beans
26,63,18,23.62,68.28,5.55,110.82,Kidney Beans
106,21,32,22.62,60.01,6.96,176.82,Coffee
120,47,20,23.98,69.48,7.62,81.86,Cotton
25,22,28,24.53,98.82,5.97,218.07,Coconut
104,24,52,26.6,87.14,6.07,25.37,Muskmelon
94,44,43,27.81,81.06,6.41,279.48,Rice
22,137,205,20.27,98.12,6.6,113.83,Apple
98,23,49,26.28,94.04,6.31,28.1,Muskmelon
85,50,34,25.32,87.77,5.51,220.08,Rice
97,40,40,22.81,83.92,6.63,265.94,Rice
90,45,25,24.59,77.45,6.16,111.04,Maize
97,32,41,25.93,76.09,6.96,248.46,Rice
27,66,21,21.56,66.39,5.41,109.85,Kidney Beans
50,62,28,31.58,90.83,7.15,138.4,Papaya
110,51,21,26.92,76.05,6.81,63.62,Cotton
98,16,51,28.07,89.83,5.75,20.04,Muskmelon
63,63,46,30.24,93.19,6.66,191.48,Papaya
24,59,25,18.86,57.22,5.76,101.97,Kidney Beans
94,31,31,25.3,54.94,7.04,179.79,Coffee
81,46,38,24.38,73.81,6.81,174.27,Jute
127,48,16,27.12,77.05,6.43,77.86,Cotton
69,46,44,21.61,83.28,7.03,192.17,Jute
12,19,30,26.84,97.97,6.22,186.55,Coconut
16,18,32,24.65,97.78,5.47,167.28,Coconut
110,18,48,26.67,91.28,6.27,27.77,Muskmelon
16,145,205,23.66,93.12,6.07,127.39,Apple
112,22,43,26.45,87.95,6.69,44.97,Watermelon
30,62,15,18.69,67.81,5.62,116.35,Kidney Beans
107,21,52,24.68,84.2,6.48,54.4,Watermelon
47,60,53,37.25,91.0,7.16,117.28,Papaya
21,128,201,19.87,93.26,6.25,121.41,Apple
86,40,41,21.55,83.63,5.82,265.73,Rice
117,48,21,25.58,70.02,6.35,91.15,Cotton
27,22,34,30.64,94.75,6.19,167.14,Coconut
24,17,32,27.88,97.5,6.38,181.72,Coconut
133,43,22,24.44,79.21,6.73,69.85,Cotton
40,54,49,30.96,93.02,6.63,160.21,Papaya
104,40,29,26.18,61.47,7.38,140.06,Coffee
20,14,12,22.85,89.03,7.7,115.72,Orange
58,67,55,32.11,89.88,6.31,161.68,Papaya
102,45,48,20.55,75.19,6.48,249.6,Rice
39,66,89,20.19,10.0,7.56,81.95,Chickpea
91,47,44,27.45,81.35,6.46,192.56,Jute
89,39,32,22.19,59.79,6.83,209.09,Coffee
61,59,58,33.43,94.55,6.03,208.38,Papaya
70,45,23,25.64,63.57,6.32,79.12,Maize
73,33,24,26.21,63.31,6.53,92.74,Maize
82,44,18,23.04,67.54,6.76,76.39,Maize
99,9,51,28.7,92.4,5.51,20.0,Muskmelon
19,63,20,22.5,63.34,5.48,121.23,Kidney Beans
26,142,203,19.93,93.95,6.13,102.15,Apple
